AÑO,DEPARTAMENTO,FECHA_ACC,DIA_SEMANA_ACC,CONDIC_METEOR,ESTADO_SUPER,TERRENO,GEOMETRIA_ACC,N_HERIDOS,N_MUERTOS,N_VICTIMAS,CLASE_ACCIDENTE,CAUSA_POSIBLE
2022,Boyacá,2022-03-18,Miércoles,Nublado,Seca,Plano,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-09-07,Jueves,Lluvia,Seca,Plano,Curva,1,0,1,Colisión,No mantener distancia
2022,Cundinamarca,2022-10-05,Lunes,Nublado,Seca,Montañoso,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Santander,2022-12-17,Domingo,Soleado,Seca,Montañoso,Curva,0,1,1,Volcamiento,No mantener distancia
2022,Santander,2022-11-19,Lunes,Soleado,Seca,Montañoso,Recta,0,1,1,Atropello,Inexperiencia
2022,Boyacá,2022-05-05,Miércoles,Soleado,Húmeda,Montañoso,Curva,2,0,2,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-05-03,Domingo,Soleado,Seca,Montañoso,Recta,3,0,3,Volcamiento,No mantener distancia
2022,Boyacá,2022-09-18,Miércoles,Lluvia,Húmeda,Montañoso,Curva,0,1,1,Colisión,No mantener distancia
2022,Cundinamarca,2022-01-07,Lunes,Soleado,Húmeda,Plano,Recta,1,0,1,Atropello,Inexperiencia
2022,Boyacá,2022-10-19,Domingo,Lluvia,Seca,Montañoso,Curva,0,0,0,Colisión,Inexperiencia
2022,Antioquia,2022-07-01,Miércoles,Soleado,Húmeda,Plano,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Santander,2022-06-26,Jueves,Soleado,Húmeda,Montañoso,Curva,0,0,0,Colisión,Inexperiencia
2022,Cundinamarca,2022-05-04,Miércoles,Nublado,Húmeda,Montañoso,Recta,0,0,0,Atropello,Inexperiencia
2022,Antioquia,2022-05-22,Sábado,Nublado,Húmeda,Montañoso,Curva,2,0,2,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-04-26,Martes,Lluvia,Húmeda,Plano,Curva,3,0,3,Colisión,No mantener distancia
2022,Santander,2022-03-06,Martes,Nublado,Húmeda,Montañoso,Curva,1,0,1,Atropello,No mantener distancia
2022,Santander,2022-07-24,Lunes,Lluvia,Seca,Plano,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Córdoba,2022-11-17,Viernes,Soleado,Húmeda,Montañoso,Curva,0,0,0,Atropello,Exceso de velocidad
2022,Cundinamarca,2022-01-05,Domingo,Soleado,Húmeda,Montañoso,Curva,1,0,1,Atropello,No mantener distancia
2022,Santander,2022-09-14,Lunes,Nublado,Seca,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Boyacá,2022-10-02,Sábado,Lluvia,Seca,Montañoso,Recta,1,0,1,Volcamiento,Inexperiencia
2022,Antioquia,2022-01-16,Domingo,Nublado,Seca,Montañoso,Curva,1,0,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-02-18,Sábado,Nublado,Seca,Montañoso,Curva,1,0,1,Atropello,Exceso de velocidad
2022,Boyacá,2022-03-17,Viernes,Soleado,Húmeda,Plano,Recta,2,0,2,Volcamiento,No mantener distancia
2022,Boyacá,2022-11-11,Miércoles,Nublado,Seca,Montañoso,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Córdoba,2022-03-27,Viernes,Lluvia,Seca,Plano,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-06-01,Viernes,Soleado,Húmeda,Plano,Recta,0,0,0,Colisión,Inexperiencia
2022,Antioquia,2022-10-25,Domingo,Soleado,Húmeda,Montañoso,Recta,2,0,2,Colisión,No mantener distancia
2022,Córdoba,2022-04-15,Domingo,Nublado,Húmeda,Plano,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Córdoba,2022-08-19,Domingo,Nublado,Seca,Montañoso,Recta,1,0,1,Volcamiento,Inexperiencia
2022,Córdoba,2022-09-23,Viernes,Lluvia,Seca,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Santander,2022-04-25,Jueves,Lluvia,Seca,Montañoso,Curva,0,0,0,Volcamiento,Exceso de velocidad
2022,Antioquia,2022-12-19,Martes,Soleado,Seca,Plano,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Santander,2022-09-01,Viernes,Lluvia,Seca,Plano,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Antioquia,2022-07-03,Miércoles,Nublado,Húmeda,Montañoso,Recta,2,1,3,Atropello,Exceso de velocidad
2022,Antioquia,2022-08-06,Miércoles,Lluvia,Seca,Plano,Curva,0,0,0,Colisión,No mantener distancia
2022,Boyacá,2022-06-04,Miércoles,Soleado,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Córdoba,2022-04-13,Miércoles,Nublado,Seca,Plano,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Santander,2022-08-02,Jueves,Soleado,Seca,Montañoso,Curva,1,0,1,Atropello,Inexperiencia
2022,Antioquia,2022-05-28,Jueves,Lluvia,Húmeda,Montañoso,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-08-11,Lunes,Soleado,Húmeda,Plano,Recta,1,0,1,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-09-13,Martes,Soleado,Húmeda,Plano,Recta,0,0,0,Atropello,No mantener distancia
2022,Antioquia,2022-07-15,Lunes,Soleado,Seca,Montañoso,Curva,0,0,0,Atropello,Inexperiencia
2022,Córdoba,2022-06-06,Miércoles,Nublado,Seca,Plano,Recta,0,0,0,Colisión,No mantener distancia
2022,Cundinamarca,2022-07-27,Jueves,Soleado,Húmeda,Montañoso,Curva,2,0,2,Volcamiento,Exceso de velocidad
2022,Santander,2022-11-10,Lunes,Lluvia,Húmeda,Montañoso,Curva,0,0,0,Atropello,No mantener distancia
2022,Santander,2022-04-12,Viernes,Lluvia,Seca,Montañoso,Curva,1,0,1,Colisión,Inexperiencia
2022,Boyacá,2022-08-06,Sábado,Nublado,Seca,Plano,Recta,2,0,2,Colisión,Inexperiencia
2022,Cundinamarca,2022-11-12,Jueves,Soleado,Húmeda,Montañoso,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Córdoba,2022-08-09,Sábado,Nublado,Seca,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Antioquia,2022-01-22,Domingo,Nublado,Húmeda,Montañoso,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-10-09,Miércoles,Nublado,Húmeda,Montañoso,Recta,1,0,1,Volcamiento,Inexperiencia
2022,Antioquia,2022-11-27,Jueves,Nublado,Seca,Plano,Recta,1,0,1,Colisión,No mantener distancia
2022,Santander,2022-11-22,Martes,Lluvia,Seca,Montañoso,Curva,1,0,1,Volcamiento,Inexperiencia
2022,Santander,2022-08-17,Domingo,Soleado,Húmeda,Montañoso,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Antioquia,2022-08-19,Martes,Soleado,Húmeda,Montañoso,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Córdoba,2022-04-01,Viernes,Nublado,Seca,Montañoso,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Cundinamarca,2022-02-07,Viernes,Soleado,Seca,Montañoso,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Antioquia,2022-05-03,Miércoles,Soleado,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-04-20,Viernes,Lluvia,Seca,Plano,Curva,0,0,0,Volcamiento,Inexperiencia
2022,Antioquia,2022-07-21,Miércoles,Soleado,Seca,Plano,Curva,0,0,0,Atropello,No mantener distancia
2022,Cundinamarca,2022-11-10,Domingo,Lluvia,Seca,Montañoso,Curva,0,0,0,Volcamiento,Exceso de velocidad
2022,Antioquia,2022-02-21,Jueves,Nublado,Húmeda,Plano,Recta,1,0,1,Atropello,Exceso de velocidad
2022,Antioquia,2022-02-19,Lunes,Lluvia,Seca,Plano,Recta,1,0,1,Atropello,Exceso de velocidad
2022,Cundinamarca,2022-10-26,Viernes,Soleado,Húmeda,Montañoso,Curva,0,1,1,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-09-06,Martes,Soleado,Seca,Montañoso,Recta,1,0,1,Colisión,Inexperiencia
2022,Antioquia,2022-06-27,Martes,Soleado,Seca,Montañoso,Curva,1,0,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-12-22,Miércoles,Soleado,Seca,Montañoso,Recta,1,0,1,Atropello,No mantener distancia
2022,Córdoba,2022-07-08,Miércoles,Lluvia,Húmeda,Montañoso,Curva,1,0,1,Volcamiento,Inexperiencia
2022,Cundinamarca,2022-03-03,Jueves,Nublado,Seca,Plano,Curva,1,0,1,Colisión,No mantener distancia
2022,Antioquia,2022-08-17,Lunes,Soleado,Seca,Montañoso,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Santander,2022-12-12,Miércoles,Lluvia,Húmeda,Plano,Recta,0,0,0,Atropello,No mantener distancia
2022,Santander,2022-01-10,Lunes,Nublado,Seca,Montañoso,Recta,0,0,0,Atropello,No mantener distancia
2022,Antioquia,2022-07-05,Sábado,Lluvia,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-10-15,Martes,Nublado,Seca,Montañoso,Recta,1,0,1,Colisión,Inexperiencia
2022,Antioquia,2022-03-16,Martes,Nublado,Seca,Montañoso,Recta,1,0,1,Atropello,Exceso de velocidad
2022,Antioquia,2022-08-03,Jueves,Soleado,Húmeda,Montañoso,Curva,0,0,0,Atropello,Inexperiencia
2022,Antioquia,2022-04-22,Lunes,Soleado,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Córdoba,2022-10-02,Sábado,Nublado,Seca,Montañoso,Curva,0,1,1,Atropello,Inexperiencia
2022,Cundinamarca,2022-01-21,Jueves,Soleado,Húmeda,Plano,Recta,2,0,2,Colisión,No mantener distancia
2022,Antioquia,2022-03-13,Sábado,Lluvia,Húmeda,Plano,Recta,0,0,0,Colisión,No mantener distancia
2022,Antioquia,2022-01-25,Jueves,Nublado,Húmeda,Montañoso,Curva,0,0,0,Atropello,Inexperiencia
2022,Córdoba,2022-02-25,Domingo,Nublado,Húmeda,Plano,Curva,1,0,1,Volcamiento,Inexperiencia
2022,Boyacá,2022-09-26,Lunes,Soleado,Húmeda,Montañoso,Recta,0,0,0,Atropello,Inexperiencia
2022,Antioquia,2022-09-03,Jueves,Lluvia,Seca,Montañoso,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Córdoba,2022-03-06,Viernes,Soleado,Seca,Montañoso,Curva,2,0,2,Atropello,No mantener distancia
2022,Antioquia,2022-03-25,Martes,Lluvia,Seca,Montañoso,Recta,2,0,2,Volcamiento,Inexperiencia
2022,Santander,2022-10-18,Sábado,Soleado,Húmeda,Plano,Curva,2,0,2,Volcamiento,No mantener distancia
2022,Córdoba,2022-10-03,Martes,Nublado,Seca,Montañoso,Curva,2,0,2,Atropello,No mantener distancia
2022,Santander,2022-11-13,Lunes,Soleado,Húmeda,Plano,Curva,1,0,1,Colisión,Exceso de velocidad
2022,Antioquia,2022-03-23,Martes,Lluvia,Húmeda,Montañoso,Curva,1,0,1,Volcamiento,No mantener distancia
2022,Santander,2022-12-07,Martes,Soleado,Húmeda,Montañoso,Curva,1,0,1,Colisión,Inexperiencia
2022,Córdoba,2022-07-10,Lunes,Lluvia,Seca,Plano,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-11-17,Jueves,Lluvia,Seca,Plano,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Boyacá,2022-12-04,Miércoles,Nublado,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Córdoba,2022-11-26,Domingo,Lluvia,Húmeda,Plano,Recta,1,0,1,Atropello,Inexperiencia
2022,Santander,2022-11-20,Martes,Nublado,Húmeda,Plano,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-05-27,Jueves,Lluvia,Seca,Montañoso,Curva,1,0,1,Atropello,Exceso de velocidad
2022,Santander,2022-03-17,Lunes,Lluvia,Seca,Plano,Recta,0,0,0,Colisión,No mantener distancia
2022,Santander,2022-05-08,Domingo,Nublado,Húmeda,Plano,Recta,0,0,0,Colisión,Exceso de velocidad
2022,Córdoba,2022-04-14,Domingo,Soleado,Húmeda,Plano,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Antioquia,2022-12-22,Sábado,Soleado,Seca,Plano,Recta,0,1,1,Colisión,No mantener distancia
2022,Boyacá,2022-02-14,Domingo,Nublado,Húmeda,Plano,Curva,2,0,2,Volcamiento,Inexperiencia
2022,Antioquia,2022-01-12,Lunes,Lluvia,Húmeda,Montañoso,Recta,0,0,0,Colisión,Exceso de velocidad
2022,Boyacá,2022-12-01,Martes,Soleado,Seca,Montañoso,Curva,0,0,0,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-06-07,Martes,Lluvia,Húmeda,Plano,Curva,0,0,0,Colisión,Inexperiencia
2022,Santander,2022-03-27,Sábado,Soleado,Húmeda,Montañoso,Curva,1,1,2,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-11-07,Miércoles,Lluvia,Húmeda,Plano,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-02-22,Jueves,Nublado,Húmeda,Montañoso,Curva,1,1,2,Colisión,No mantener distancia
2022,Santander,2022-07-19,Jueves,Lluvia,Húmeda,Plano,Curva,0,1,1,Colisión,Inexperiencia
2022,Córdoba,2022-12-10,Miércoles,Nublado,Seca,Montañoso,Recta,0,0,0,Colisión,Exceso de velocidad
2022,Santander,2022-10-24,Jueves,Soleado,Húmeda,Plano,Recta,1,0,1,Atropello,No mantener distancia
2022,Cundinamarca,2022-10-21,Martes,Lluvia,Seca,Plano,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Santander,2022-12-03,Viernes,Lluvia,Húmeda,Montañoso,Curva,0,0,0,Volcamiento,Inexperiencia
2022,Boyacá,2022-12-14,Sábado,Lluvia,Seca,Montañoso,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Antioquia,2022-04-02,Domingo,Lluvia,Seca,Montañoso,Curva,1,0,1,Atropello,No mantener distancia
2022,Cundinamarca,2022-08-04,Viernes,Nublado,Seca,Montañoso,Curva,1,0,1,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-09-01,Viernes,Nublado,Húmeda,Montañoso,Curva,0,0,0,Colisión,Inexperiencia
2022,Santander,2022-05-12,Viernes,Soleado,Seca,Plano,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Santander,2022-04-18,Sábado,Lluvia,Seca,Montañoso,Curva,1,0,1,Volcamiento,No mantener distancia
2022,Santander,2022-11-05,Lunes,Soleado,Seca,Plano,Recta,0,1,1,Atropello,Inexperiencia
2022,Boyacá,2022-09-18,Viernes,Soleado,Seca,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Santander,2022-04-16,Martes,Lluvia,Húmeda,Montañoso,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Boyacá,2022-01-23,Domingo,Lluvia,Seca,Plano,Recta,0,0,0,Atropello,No mantener distancia
2022,Cundinamarca,2022-11-08,Lunes,Lluvia,Húmeda,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Antioquia,2022-10-28,Martes,Lluvia,Húmeda,Plano,Curva,1,0,1,Colisión,No mantener distancia
2022,Santander,2022-09-11,Jueves,Lluvia,Seca,Plano,Recta,1,1,2,Colisión,No mantener distancia
2022,Córdoba,2022-11-01,Sábado,Lluvia,Seca,Montañoso,Curva,0,0,0,Atropello,Inexperiencia
2022,Santander,2022-03-28,Viernes,Soleado,Seca,Montañoso,Recta,0,0,0,Volcamiento,Inexperiencia
2022,Córdoba,2022-08-14,Sábado,Lluvia,Húmeda,Plano,Curva,0,0,0,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-05-26,Lunes,Soleado,Húmeda,Plano,Curva,0,0,0,Atropello,Inexperiencia
2022,Boyacá,2022-12-27,Miércoles,Soleado,Seca,Montañoso,Curva,0,0,0,Atropello,No mantener distancia
2022,Cundinamarca,2022-11-19,Domingo,Soleado,Seca,Plano,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Córdoba,2022-12-03,Martes,Lluvia,Húmeda,Plano,Curva,2,0,2,Volcamiento,Inexperiencia
2022,Santander,2022-07-24,Lunes,Lluvia,Seca,Plano,Recta,1,0,1,Colisión,No mantener distancia
2022,Boyacá,2022-11-13,Domingo,Lluvia,Húmeda,Montañoso,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Santander,2022-10-08,Lunes,Lluvia,Seca,Montañoso,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Antioquia,2022-02-19,Jueves,Lluvia,Seca,Montañoso,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-01-22,Viernes,Nublado,Seca,Plano,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-09-25,Martes,Nublado,Seca,Montañoso,Recta,0,0,0,Atropello,No mantener distancia
2022,Antioquia,2022-11-07,Jueves,Lluvia,Seca,Plano,Recta,0,1,1,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-08-05,Lunes,Nublado,Seca,Plano,Curva,0,0,0,Colisión,No mantener distancia
2022,Cundinamarca,2022-02-28,Viernes,Nublado,Húmeda,Montañoso,Recta,2,0,2,Atropello,Exceso de velocidad
2022,Boyacá,2022-07-12,Martes,Lluvia,Seca,Montañoso,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-05-13,Viernes,Nublado,Seca,Montañoso,Curva,0,0,0,Colisión,Inexperiencia
2022,Cundinamarca,2022-01-16,Jueves,Nublado,Húmeda,Plano,Curva,0,1,1,Volcamiento,No mantener distancia
2022,Cundinamarca,2022-08-24,Jueves,Soleado,Seca,Plano,Curva,0,0,0,Atropello,No mantener distancia
2022,Santander,2022-12-06,Jueves,Lluvia,Seca,Plano,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-02-27,Lunes,Soleado,Seca,Montañoso,Curva,0,0,0,Volcamiento,Inexperiencia
2022,Córdoba,2022-06-11,Domingo,Lluvia,Húmeda,Montañoso,Recta,0,1,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-03-24,Martes,Lluvia,Húmeda,Plano,Curva,1,0,1,Colisión,Inexperiencia
2022,Boyacá,2022-11-02,Miércoles,Lluvia,Húmeda,Plano,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Cundinamarca,2022-01-14,Sábado,Lluvia,Seca,Plano,Curva,2,0,2,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-09-15,Jueves,Soleado,Húmeda,Plano,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Cundinamarca,2022-02-28,Domingo,Lluvia,Húmeda,Montañoso,Curva,1,0,1,Atropello,No mantener distancia
2022,Córdoba,2022-02-10,Lunes,Lluvia,Húmeda,Montañoso,Recta,0,0,0,Colisión,Inexperiencia
2022,Córdoba,2022-09-03,Viernes,Soleado,Húmeda,Plano,Recta,0,0,0,Colisión,Inexperiencia
2022,Antioquia,2022-05-07,Jueves,Soleado,Húmeda,Plano,Recta,2,0,2,Colisión,Inexperiencia
2022,Córdoba,2022-12-22,Sábado,Nublado,Seca,Montañoso,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Santander,2022-10-23,Martes,Nublado,Seca,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Boyacá,2022-05-13,Jueves,Soleado,Seca,Montañoso,Recta,1,0,1,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-02-20,Jueves,Lluvia,Húmeda,Montañoso,Curva,1,0,1,Volcamiento,No mantener distancia
2022,Antioquia,2022-09-17,Lunes,Soleado,Seca,Plano,Recta,0,0,0,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-08-21,Jueves,Nublado,Seca,Plano,Recta,2,0,2,Colisión,Inexperiencia
2022,Santander,2022-12-01,Domingo,Soleado,Húmeda,Montañoso,Recta,0,0,0,Colisión,Inexperiencia
2022,Córdoba,2022-08-17,Viernes,Soleado,Húmeda,Plano,Curva,0,0,0,Atropello,Inexperiencia
2022,Córdoba,2022-12-19,Miércoles,Lluvia,Seca,Montañoso,Recta,1,0,1,Atropello,No mantener distancia
2022,Antioquia,2022-09-02,Domingo,Lluvia,Seca,Montañoso,Recta,1,0,1,Volcamiento,Inexperiencia
2022,Boyacá,2022-10-21,Jueves,Nublado,Húmeda,Plano,Recta,0,1,1,Volcamiento,Inexperiencia
2022,Boyacá,2022-01-08,Martes,Nublado,Seca,Montañoso,Recta,0,0,0,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-04-21,Jueves,Nublado,Húmeda,Montañoso,Recta,2,0,2,Colisión,Inexperiencia
2022,Boyacá,2022-05-13,Sábado,Soleado,Húmeda,Plano,Recta,2,0,2,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-09-22,Jueves,Soleado,Seca,Plano,Recta,0,0,0,Atropello,Exceso de velocidad
2022,Córdoba,2022-07-24,Jueves,Soleado,Húmeda,Montañoso,Curva,1,0,1,Atropello,Inexperiencia
2022,Santander,2022-07-12,Domingo,Soleado,Húmeda,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Córdoba,2022-01-04,Miércoles,Lluvia,Húmeda,Montañoso,Curva,1,0,1,Atropello,Exceso de velocidad
2022,Antioquia,2022-09-20,Jueves,Lluvia,Húmeda,Plano,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Boyacá,2022-05-25,Jueves,Nublado,Húmeda,Montañoso,Curva,0,0,0,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-04-20,Martes,Lluvia,Seca,Plano,Curva,1,0,1,Volcamiento,Exceso de velocidad
2022,Cundinamarca,2022-12-25,Viernes,Soleado,Seca,Montañoso,Recta,0,0,0,Colisión,Exceso de velocidad
2022,Cundinamarca,2022-04-24,Sábado,Lluvia,Húmeda,Plano,Curva,0,0,0,Colisión,Inexperiencia
2022,Córdoba,2022-06-24,Viernes,Lluvia,Húmeda,Plano,Curva,1,0,1,Volcamiento,Inexperiencia
2022,Antioquia,2022-07-01,Martes,Nublado,Húmeda,Montañoso,Curva,2,0,2,Colisión,No mantener distancia
2022,Cundinamarca,2022-04-16,Domingo,Nublado,Seca,Plano,Curva,1,0,1,Colisión,No mantener distancia
